ARB_ID,SET,BRAND,match,afte3,N_8good
625,3,2,0,3,8
625,4,1,0,2,8
625,5,2,0,2,8
625,6,1,0,3,8
625,7,1,0,3,8
625,8,2,1,1,8
633,1,2,1,1,8
633,2,2,0,3,8
633,3,1,1,1,8
633,4,2,1,1,8
633,5,1,0,3,8
633,6,1,1,1,8
633,7,1,0,3,8
633,8,2,1,1,8
641,1,1,1,1,8
641,2,2,1,1,8
641,3,1,0,3,8
641,4,2,0,3,8
641,5,2,1,1,8
641,6,2,1,1,8
641,7,1,0,3,8
641,8,1,0,3,8
649,1,1,1,1,8
649,2,1,0,3,8
649,3,1,1,1,8
649,4,2,1,1,8
649,5,2,0,3,8
649,6,2,1,1,8
649,7,1,0,3,8
649,8,2,1,1,8
657,1,1,1,1,8
657,2,1,1,1,8
657,3,2,1,1,8
657,4,1,0,3,8
657,5,2,1,1,8
657,6,1,1,1,8
657,7,2,0,3,8
657,8,2,0,3,8
665,1,2,1,1,8
665,2,1,0,3,8
665,3,1,1,1,8
665,4,2,0,3,8
665,5,2,0,3,8
665,6,2,1,1,8
665,7,1,1,1,8
665,8,1,1,1,8
673,1,1,1,1,8
673,2,1,1,1,8
673,3,2,0,2,8
673,4,2,0,2,8
673,5,2,0,2,8
673,6,1,1,1,8
673,7,2,1,1,8
673,8,1,0,2,8
681,1,1,0,2,8
681,2,2,1,1,8
681,3,2,0,3,8
681,4,1,1,1,8
681,5,2,0,3,8
681,6,1,1,1,8
681,7,1,1,1,8
681,8,2,0,2,8
689,1,1,0,2,8
689,2,1,1,1,8
689,3,2,1,1,8
689,4,1,1,1,8
689,5,2,1,1,8
689,6,2,1,1,8
689,7,2,0,2,8
689,8,1,0,2,8
697,1,1,1, , 
697,2,1,0, , 
697,3,2,0, , 
697,4,1,1, , 
697,5,2,1, , 
697,6,1,0, , 
697,7,2,0, , 
697,8,2,1, , 
705,1,2,1,1,8
705,2,1,0,3,8
705,3,2,0,3,8
705,4,1,0,3,8
705,5,1,0,3,8
705,6,1,1,1,8
705,7,2,1,1,8
705,8,2,0,3,8
713,1,1,1,1,8
713,2,2,1,1,8
713,3,2,1,1,8
713,4,1,0,3,8
713,5,2,0,3,8
713,6,1,1,1,8
713,7,2,1,1,8
713,8,1,0,3,8
721,1,2,0,3,8
721,2,2,0,3,8
721,3,2,1,1,8
721,4,2,1,1,8
721,5,1,0,2,8
721,6,1,1,1,8
721,7,1,1,1,8
721,8,1,1,1,8
729,1,1,1,1,8
729,2,2,0,3,8
729,3,1,1,1,8
729,4,2,0,2,8
729,5,1,0,3,8
729,6,2,0,3,8
729,7,2,1,1,8
729,8,1,0,3,8
737,1,2,0,3,8
737,2,1,0,3,8
737,3,2,0,3,8
737,4,1,1,1,8
737,5,1,1,1,8
737,6,2,1,1,8
737,7,1,0,3,8
737,8,2,0,3,8
745,1,1,0,2,8
745,2,2,0,2,8
745,3,1,1,1,8
745,4,2,1,1,8
745,5,2,1,1,8
745,6,1,0,2,8
745,7,1,0,2,8
745,8,2,0,3,8
753,1,1,1,1,8
753,2,2,1,1,8
753,3,1,1,1,8
753,4,2,0,3,8
753,5,1,0,2,8
753,6,1,0,3,8
753,7,2,1,1,8
753,8,2,1,1,8
761,1,2,0,3,8
761,2,1,0,3,8
761,3,1,1,1,8
761,4,1,1,1,8
761,5,2,1,1,8
761,6,1,1,1,8
761,7,2,0,3,8
761,8,2,0,3,8
769,1,2,1,1,8
